image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold,density_clahe_otsu_pred,density_clahe_otsu_orig
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,0,0,0,0.021278381,0.9054718017578125,0.8722648620605469
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,1,0,512,0.018184662,0.9458656311035156,0.9402427673339844
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,2,0,1024,0.018226624,0.9506263732910156,0.9619216918945312
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,3,0,1536,0.019233704,0.9534416198730469,0.9599037170410156
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,4,0,2048,0.016204834,0.961029052734375,0.8733901977539062
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,5,0,2560,0.019470215,0.9407577514648438,0.73748779296875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,6,0,3072,0.014808655,0.9069633483886719,0.7647438049316406
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,7,512,0,0.022819519,0.8788490295410156,0.948333740234375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,8,512,512,0.016586304,0.9296035766601562,0.96435546875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,9,512,1024,0.015907288,0.9626808166503906,0.9675178527832031
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,10,512,1536,0.013256073,0.9664726257324219,0.9757804870605469
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,11,512,2048,0.016357422,0.9597587585449219,0.9688301086425781
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,12,512,2560,0.017028809,0.9569625854492188,0.9604415893554688
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,13,512,3072,0.02532959,0.9337844848632812,0.92047119140625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,14,1024,0,0.021186829,0.8460960388183594,0.9579124450683594
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,15,1024,512,0.017623901,0.90435791015625,0.9637794494628906
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,16,1024,1024,0.013332367,0.9524765014648438,0.9727897644042969
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,17,1024,1536,0.013217926,0.9658622741699219,0.7356071472167969
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,18,1024,2048,0.0126953125,0.9609870910644531,0.9597206115722656
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,19,1024,2560,0.015029907,0.9549751281738281,0.9661064147949219
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,20,1024,3072,0.023605347,0.9372634887695312,0.9390869140625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,21,1536,0,0.023181915,0.8273544311523438,0.9519462585449219
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,22,1536,512,0.01922226,0.8564262390136719,0.9579696655273438
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,23,1536,1024,0.013427734,0.9237174987792969,0.71624755859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,24,1536,1536,0.013889313,0.9540634155273438,0.9709358215332031
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,25,1536,2048,0.012031555,0.9654388427734375,0.972259521484375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,26,1536,2560,0.017654419,0.9524574279785156,0.9603614807128906
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,27,1536,3072,0.024147034,0.9353713989257812,0.9448890686035156
160x_2025-05-15_02-05-00.tif,160,160x,0,0,0,0.3475113,0.5312080383300781,0.6705284118652344
160x_2025-05-15_02-05-00.tif,160,160x,1,0,512,0.2749939,0.5540809631347656,0.7026786804199219
160x_2025-05-15_02-05-00.tif,160,160x,2,0,1024,0.2569847,0.5607719421386719,0.7137947082519531
160x_2025-05-15_02-05-00.tif,160,160x,3,0,1536,0.28107834,0.5538749694824219,0.7023849487304688
160x_2025-05-15_02-05-00.tif,160,160x,4,0,2048,0.30409622,0.5470962524414062,0.6840019226074219
